Code Ville 1,Code Pays 1,Ville 1,Code Ville 2,Code Pays 2,Ville 2,Passagers 2000,Distance (km)
CHI,UNST,CHICAGO **,PHL,UNST,PHILADELPHIA,1609000,1064
BOS,UNST,BOSTON,CHI,UNST,CHICAGO **,1608278,1370
NYC,UNST,NEW YORK **,PAR,FRAN,PARIS **,1580455,5837
KWJ,KORR,KWANGJU,SEL,KORR,SEOUL **,1577133,270
LON,UNKG,LONDON **,MAD,SPAN,MADRID **,1574841,1222
AUS,UNST,AUSTIN,DAL,UNST,DALLAS **,1567694,301
BWI,UNST,BALTIMORE,PVD,UNST,PROVIDENCE,1565272,526
MAD,SPAN,MADRID **,PAR,FRAN,PARIS **,1565263,1031
BFS,UNKG,BELFAST **,LON,UNKG,LONDON **,1554076,505
OAK,UNST,OAKLAND,SNA,UNST,ORANGE COUNT,1548148,597
PHX,UNST,PHOENIX,SAN,UNST,SAN DIEGO,1547272,486
HKG,HONG,HONG KONG,MNL,PHIL,MANILA,1545992,1127
BOS,UNST,BOSTON,ORL,UNST,ORLANDO,1531898,1797
ATL,UNST,ATLANTA,ORL,UNST,ORLANDO,1528202,640
CHI,UNST,CHICAGO **,TPA,UNST,"TAMPA, FL **",1521136,1612
HKG,HONG,HONG KONG,SHA,CHIN,SHANGHAI **,1508043,1234
FRA,GERF,FRANKFURT,MUC,GERF,MUNICH,1497872,311
DEN,UNST,DENVER,LAX,UNST,LOS ANGELES **,1490778,1363
LAS,UNST,LAS VEGAS,SAN,UNST,SAN DIEGO,1472974,416
CHI,UNST,CHICAGO **,LON,UNKG,LONDON **,1471624,6318
FRA,GERF,FRANKFURT,HAM,GERF,HAMBURG,1468043,412
LAX,UNST,LOS ANGELES **,LON,UNKG,LONDON **,1463087,8748
LON,UNKG,LONDON **,STO,SWED,STOCKHOLM **,1463013,1477
OAK,UNST,OAKLAND,SAN,UNST,SAN DIEGO,1458600,718
LAS,UNST,LAS VEGAS,SEA,UNST,SEATTLE,1452864,1393
SAN,UNST,SAN DIEGO,SMF,UNST,SACRAMENTO,1443686,751
BCN,SPAN,BARCELONA,PMI,SPAN,PALMA DE MALLORCA,1437159,202
MUC,GERF,MUNICH,BER,GERF,BERLIN **,1436681,498
LAX,UNST,LOS ANGELES **,TYO,JAPN,TOKYO **,1411672,8809
ATL,UNST,ATLANTA,TPA,UNST,"TAMPA, FL **",1406584,657
MAD,SPAN,MADRID **,PMI,SPAN,PALMA DE MALLORCA,1405959,546
OAK,UNST,OAKLAND,SEA,UNST,SEATTLE,1404146,1082
DEN,UNST,DENVER,DAL,UNST,DALLAS **,1401874,1032
HKG,HONG,HONG KONG,PUS,KORR,PUSAN,1395921,2032
DEN,UNST,DENVER,SFO,UNST,SAN FRANCISCO,1388466,1534
HKG,HONG,HONG KONG,SEL,KORR,SEOUL **,1388023,2077
MSP,UNST,MINNEAPOLIS,NYC,UNST,NEW YORK **,1386740,1629
BRU,BELG,BRUSSELS,LON,UNKG,LONDON **,1384130,372
DUS,GERF,DUSSELDORF,MUC,GERF,MUNICH,1381829,499
MPL,FRAN,MONTPELLIER,PAR,FRAN,PARIS **,1378647,585
CHI,UNST,CHICAGO **,FLL,UNST,FORT LAUDERDALE,1375754,1884
LAX,UNST,LOS ANGELES **,SLC,UNST,SALT LAKE CITY,1375670,949
ORL,UNST,ORLANDO,WAS,UNST,WASHINGTON **,1373146,1211
BKK,THAI,BANGKOK,TPE,TAIW,TAIPEI,1370048,2513
CHI,UNST,CHICAGO **,HOU,UNST,HOUSTON **,1368776,1522
MAD,SPAN,MADRID **,TCI,SPNA,TENERIFE **,1365956,1797
LON,UNKG,LONDON **,MUC,GERF,MUNICH,1358334,964
SEA,UNST,SEATTLE,SJC,UNST,SAN JOSE,1357816,1123
BOS,UNST,BOSTON,SFO,UNST,SAN FRANCISCO,1357430,4339
LAX,UNST,LOS ANGELES **,WAS,UNST,WASHINGTON **,1356712,3691
LAS,UNST,LAS VEGAS,SJC,UNST,SAN JOSE,1346176,617
ORL,UNST,ORLANDO,PHL,UNST,PHILADELPHIA,1343366,1380
NYC,UNST,NEW YORK **,YTO,CAND,TORONTO,1338166,568
BUR,UNST,BURBANK,LAS,UNST,LAS VEGAS,1337840,357
PAR,FRAN,PARIS **,ROM,ITAL,ROMA **,1327788,1088
BKK,THAI,BANGKOK,TYO,JAPN,TOKYO **,1315418,4581
SEL,KORR,SEOUL **,USN,KORR,ULSAN,1314919,315
GEG,UNST,SPOKANE,SEA,UNST,SEATTLE,1314284,358
CPH,DENM,COPENHAGEN **,LON,UNKG,LONDON **,1307910,1010
BUF,UNST,BUFFALO,NYC,UNST,NEW YORK **,1303800,462
LON,UNKG,LONDON **,YTO,CAND,TORONTO,1302010,5688
GOT,SWED,GOTEBORG **,STO,SWED,STOCKHOLM **,1300255,379
LON,UNKG,LONDON **,ZRH,SWTZ,ZURICH,1292008,801
MIL,ITAL,MILANO **,NAP,ITAL,NAPOLI,1280805,671
AGP,SPAN,MALAGA,LON,UNKG,LONDON **,1272592,1652
PHX,UNST,PHOENIX,SEA,UNST,SEATTLE,1269766,1780
ATH,GREC,ATHENS,SKG,GREC,THESSALONIKI,1269100,298
HAM,GERF,HAMBURG,MUC,GERF,MUNICH,1267990,623
DUS,GERF,DUSSELDORF,PMI,SPAN,PALMA DE MALLORCA,1254221,1340
GVA,SWTZ,GENEVA,LON,UNKG,LONDON **,1250956,758
ATL,UNST,ATLANTA,FLL,UNST,FORT LAUDERDALE,1247720,937
NYC,UNST,NEW YORK **,RDU,UNST,RALEIGH/DURHAM,1211218,685
FRA,GERF,FRANKFURT,NYC,UNST,NEW YORK **,1208306,6190
PHX,UNST,PHOENIX,SFO,UNST,SAN FRANCISCO,1204882,1044
BOS,UNST,BOSTON,PHL,UNST,PHILADELPHIA,1204864,449
HEL,FINL,HELSINKI,STO,SWED,STOCKHOLM **,1202473,406
BWI,UNST,BALTIMORE,MHT,UNST,MANCHESTER,1194014,606
CPH,DENM,COPENHAGEN **,STO,SWED,STOCKHOLM **,1187416,522
MIL,ITAL,MILANO **,PAR,FRAN,PARIS **,1186254,613
PAR,FRAN,PARIS **,SXB,FRAN,STRASBOURG,1183539,386
DEN,UNST,DENVER,PHX,UNST,PHOENIX,1179044,949
MMA,SWED,MALMO,STO,SWED,STOCKHOLM **,1176684,508
BUR,UNST,BURBANK,SMF,UNST,SACRAMENTO,1176134,556
NYC,UNST,NEW YORK **,PHX,UNST,PHOENIX,1175962,3441
ATL,UNST,ATLANTA,MIA,UNST,MIAMI **,1174940,960
BOS,UNST,BOSTON,FLL,UNST,FORT LAUDERDALE,1171990,1995
ATL,UNST,ATLANTA,HOU,UNST,HOUSTON **,1169244,1119
BOS,UNST,BOSTON,LAX,UNST,LOS ANGELES **,1166766,4190
LAX,UNST,LOS ANGELES **,PDX,UNST,PORTLAND,1165082,1343
PAR,FRAN,PARIS **,PTP,GUAD,POINTE A PITRE,1162829,6748
SFO,UNST,SAN FRANCISCO,SNA,UNST,ORANGE COUNT,1162042,599
MSP,UNST,MINNEAPOLIS,PHX,UNST,PHOENIX,1160390,2053
BOS,UNST,BOSTON,LON,UNKG,LONDON **,1149437,5218
HFD,UNST,HARTFORD SPRINGFIELDS,ORL,UNST,ORLANDO,1147528,1682
LAS,UNST,LAS VEGAS,OAK,UNST,OAKLAND,1145346,652
PDX,UNST,PORTLAND,SJC,UNST,SAN JOSE,1143960,917
FRA,GERF,FRANKFURT,PAR,FRAN,PARIS **,1135209,470
LON,UNKG,LONDON **,SFO,UNST,SAN FRANCISCO,1131385,8608
SIN,SING,SINGAPORE **,TYO,JAPN,TOKYO **,1128323,5296
BWI,UNST,BALTIMORE,ORL,UNST,ORLANDO,1118522,1258
ATL,UNST,ATLANTA,DET,UNST,DETROIT **,1113944,957
AGP,SPAN,MALAGA,MAD,SPAN,MADRID **,1113006,430
CTA,ITAL,CATANIA,MIL,ITAL,MILANO **,1112572,1028
ATL,UNST,ATLANTA,LAX,UNST,LOS ANGELES **,1110742,3122
DEN,UNST,DENVER,MSP,UNST,MINNEAPOLIS,1106628,1114
LAS,UNST,LAS VEGAS,RNO,UNST,RENO,1102206,554
BWI,UNST,BALTIMORE,LAX,UNST,LOS ANGELES **,1083730,3737
LON,UNKG,LONDON **,PMI,SPAN,PALMA DE MALLORCA,1083042,1334
ATL,UNST,ATLANTA,RDU,UNST,RALEIGH/DURHAM,1081494,571
SAN,UNST,SAN DIEGO,SEA,UNST,SEATTLE,1074488,1691
LON,UNKG,LONDON **,WAS,UNST,WASHINGTON **,1065629,5870
FDF,MART,FORT DE FRANCE,PAR,FRAN,PARIS **,1062889,6848
BCN,SPAN,BARCELONA,LON,UNKG,LONDON **,1059209,1133
AMS,NETH,AMSTERDAM,PAR,FRAN,PARIS **,1059084,433
SFO,UNST,SAN FRANCISCO,WAS,UNST,WASHINGTON **,1054354,3902
LON,UNKG,LONDON **,TYO,JAPN,TOKYO **,1044673,9614
CGN,GERF,COLOGNE,BER,GERF,BERLIN **,1037996,463
BKK,THAI,BANGKOK,SEL,KORR,SEOUL **,1036649,3686
NYC,UNST,NEW YORK **,PIT,UNST,PITTSBURGH,1035536,528
ABQ,UNST,ALBUQUERQUE,PHX,UNST,PHOENIX,1032924,530
BJS,CHIN,BEIJING,HKG,HONG,HONG KONG,1030600,1960
HKG,HONG,HONG KONG,KHH,TAIW,KAOHSIUNG,1030487,639
GUM,GUAM,GUAM,TYO,JAPN,TOKYO **,1017120,2502
ATH,GREC,ATHENS,LON,UNKG,LONDON **,1015967,2428
BCN,SPAN,BARCELONA,PAR,FRAN,PARIS **,1013437,826
MSY,UNST,NEW ORLEANS,NYC,UNST,NEW YORK **,1005556,1894
PHX,UNST,PHOENIX,SLC,UNST,SALT LAKE CITY,1004872,817
LON,UNKG,LONDON **,SIN,SING,SINGAPORE **,1003238,10903
HOU,UNST,HOUSTON **,LAX,UNST,LOS ANGELES **,996732,2228
DEN,UNST,DENVER,LAS,UNST,LAS VEGAS,994714,989
HKG,HONG,HONG KONG,LON,UNKG,LONDON **,992955,9670
MSP,UNST,MINNEAPOLIS,ORL,UNST,ORLANDO,989152,2098
MSP,UNST,MINNEAPOLIS,SFO,UNST,SAN FRANCISCO,987966,2551
CHI,UNST,CHICAGO **,CMH,UNST,"COLUMBUS, OH **",987896,449
BWI,UNST,BALTIMORE,CLE,UNST,CLEVELAND,980152,505
PHX,UNST,PHOENIX,SJC,UNST,SAN JOSE,979762,995
LAX,UNST,LOS ANGELES **,MEX,MEXC,MEXICO CITY,979644,2497
LAX,UNST,LOS ANGELES **,TPE,TAIW,TAIPEI,979021,10895
CHI,UNST,CHICAGO **,YTO,CAND,TORONTO,975974,683
DEN,UNST,DENVER,WAS,UNST,WASHINGTON **,974242,2369
DXB,UNAR,DUBAI,LON,UNKG,LONDON **,970817,5513
NYC,UNST,NEW YORK **,SEA,UNST,SEATTLE,961918,3862
