Code Ville 1,Code Pays 1,Ville 1,Code Ville 2,Code Pays 2,Ville 2,Passagers 2000,Distance (km)
LYS,FRAN,LYON **,PAR,FRAN,PARIS **,726318,385
HKG,HONG,HONG KONG,OSA,JAPN,OSAKA,724202,2483
BUE,ARGT,BUENOS AIRES **,SAO,BRAZ,SAO PAULO **,724063,1674
CHI,UNST,CHICAGO **,PIT,UNST,PITTSBURGH,720148,638
MAD,SPAN,MADRID **,ROM,ITAL,ROMA **,718684,1329
MIA,UNST,MIAMI **,SAO,BRAZ,SAO PAULO **,718667,6534
SIN,SING,SINGAPORE **,TPE,TAIW,TAIPEI,717558,3239
RNO,UNST,RENO,SEA,UNST,SEATTLE,716814,907
JAX,UNST,JACKSONVILLE,NYC,UNST,NEW YORK **,714356,1339
MSP,UNST,MINNEAPOLIS,SEA,UNST,SEATTLE,713854,2242
HOU,UNST,HOUSTON **,SAT,UNST,SAN ANTONIO,711126,306
LAX,UNST,LOS ANGELES **,YVR,CAND,VANCOUVER,709542,1739
AUS,UNST,AUSTIN,HOU,UNST,HOUSTON **,707428,242
BUE,ARGT,BUENOS AIRES **,MIA,UNST,MIAMI **,706169,7094
CVG,UNST,CINCINNATI,NYC,UNST,NEW YORK **,704588,929
DEN,UNST,DENVER,SAN,UNST,SAN DIEGO,703936,1349
AKL,NEWZ,AUCKLAND,LAX,UNST,LOS ANGELES **,702681,10479
DEN,UNST,DENVER,HOU,UNST,HOUSTON **,701212,1423
LON,UNKG,LONDON **,NCE,FRAN,NICE,698259,1040
MAD,SPAN,MADRID **,SCQ,SPAN,SANTIAGO DE COMPOSTELA,696469,490
ABQ,UNST,ALBUQUERQUE,DAL,UNST,DALLAS **,692494,911
ALC,SPAN,ALICANTE,MAD,SPAN,MADRID **,690128,351
MAD,SPAN,MADRID **,MIL,ITAL,MILANO **,689866,1164
CHI,UNST,CHICAGO **,OMA,UNST,OMAHA,689736,690
HAM,GERF,HAMBURG,LON,UNKG,LONDON **,686505,775
IND,UNST,INDIANAPOLIS,LAS,UNST,LAS VEGAS,685274,2553
STO,SWED,STOCKHOLM **,UME,SWED,UMEA,684872,510
CHI,UNST,CHICAGO **,SDF,UNST,LOUISVILLE,681566,440
LON,UNKG,LONDON **,BER,GERF,BERLIN **,681486,976
BWI,UNST,BALTIMORE,DET,UNST,DETROIT **,680256,642
PEN,MALB,PENANG,SIN,SING,SINGAPORE **,679987,602
BRU,BELG,BRUSSELS,ROM,ITAL,ROMA **,677700,1171
DEN,UNST,DENVER,ORL,UNST,ORLANDO,675532,2487
BJS,CHIN,BEIJING,SEL,KORR,SEOUL **,675256,947
MKC,UNST,KANSAS CITY,NYC,UNST,NEW YORK **,674438,1761
MIL,ITAL,MILANO **,NYC,UNST,NEW YORK **,673362,6439
BKK,THAI,BANGKOK,KUL,MALB,KUALA LUMPUR,672295,1206
MNL,PHIL,MANILA,SIN,SING,SINGAPORE **,671738,2374
PUS,KORR,PUSAN,SIN,SING,SINGAPORE **,669383,4569
HKG,HONG,HONG KONG,SYD,ASTL,SYDNEY,668700,7373
BNA,UNST,NASHVILLE,BWI,UNST,BALTIMORE,667510,943
OSA,JAPN,OSAKA **,SHA,CHIN,SHANGHAI **,664736,1352
AMS,NETH,AMSTERDAM,MAD,SPAN,MADRID **,664110,1462
CHI,UNST,CHICAGO **,PVD,UNST,PROVIDENCE,663866,1340
OSA,JAPN,OSAKA **,SIN,SING,SINGAPORE **,662825,4939
FRA,GERF,FRANKFURT,TYO,JAPN,TOKYO **,662097,9354
LON,UNKG,LONDON **,SNN,IRLD,SHANNON,661080,575
FRA,GERF,FRANKFURT,MIL,ITAL,MILANO **,660959,501
CMH,UNST,"COLUMBUS, OH **",ORL,UNST,ORLANDO,656106,1282
LAS,UNST,LAS VEGAS,SNA,UNST,ORANGE COUNT,652776,364
PAR,FRAN,PARIS **,TLN,FRAN,TOULON,652753,690
SFO,UNST,SAN FRANCISCO,TPE,TAIW,TAIPEI,652211,10363
BOS,UNST,BOSTON,LAS,UNST,LAS VEGAS,651962,3822
AMS,NETH,AMSTERDAM,FRA,GERF,FRANKFURT,651954,366
BWI,UNST,BALTIMORE,HOU,UNST,HOUSTON **,651048,2003
CMH,UNST,"COLUMBUS, OH **",LAS,UNST,LAS VEGAS,650312,2843
HOU,UNST,HOUSTON **,WAS,UNST,WASHINGTON **,650010,1945
FRA,GERF,FRANKFURT,VIE,AUST,VIENNA,649414,617
BKK,THAI,BANGKOK,FRA,GERF,FRANKFURT,648837,8963
BKK,THAI,BANGKOK,OSA,JAPN,OSAKA,648305,4186
CHI,UNST,CHICAGO **,IND,UNST,INDIANAPOLIS,647934,263
LAS,UNST,LAS VEGAS,MKE,UNST,MILWAUKEE,646614,2446
LON,UNKG,LONDON **,NCL,UNKG,NEWCASTLE,645964,419
MAD,SPAN,MADRID **,VLC,SPAN,VALENCIA,645547,286
AMS,NETH,AMSTERDAM,BCN,SPAN,BARCELONA,645341,1241
ATH,GREC,ATHENS,PAR,FRAN,PARIS **,644360,2093
SEL,KORR,SEOUL **,SIN,SING,SINGAPORE **,642006,4650
AGP,SPAN,MALAGA,MAN,UNKG,MANCHESTER,641781,1862
ALC,SPAN,ALICANTE,MAN,UNKG,MANCHESTER,639262,1669
HEL,FINL,HELSINKI,OUL,FINL,OULU,638781,513
JER,UNKG,JERSEY,LON,UNKG,LONDON **,637408,251
IND,UNST,INDIANAPOLIS,NYC,UNST,NEW YORK **,637054,1049
LON,UNKG,LONDON **,YVR,CAND,VANCOUVER,636962,7574
AYT,TURK,ANTALYA,DUS,GERF,DUSSELDORF,633776,2476
ISP,UNST,LONG ISLAND MACARTHUR,ORL,UNST,ORLANDO,632856,1556
HOU,UNST,HOUSTON **,SFO,UNST,SAN FRANCISCO,632072,2646
PDX,UNST,PORTLAND,SAN,UNST,SAN DIEGO,631490,1501
MUC,GERF,MUNICH,PAR,FRAN,PARIS **,631278,690
DUB,IRLD,DUBLIN,MAN,UNKG,MANCHESTER,631109,264
DPS,INDO,DENPASAR (BALI),SIN,SING,SINGAPORE **,629955,1671
NYC,UNST,NEW YORK **,ROC,UNST,ROCHESTER,629368,402
FRA,GERF,FRANKFURT,SIN,SING,SINGAPORE **,628345,10272
PHX,UNST,PHOENIX,SMF,UNST,SACRAMENTO,628260,1021
CMH,UNST,"COLUMBUS, OH **",NYC,UNST,NEW YORK **,627850,758
HOU,UNST,HOUSTON **,ORL,UNST,ORLANDO,627524,1359
BCN,SPAN,BARCELONA,SVQ,SPAN,SEVILLE,626247,809
BOI,UNST,BOISE,SEA,UNST,SEATTLE,624876,640
CHI,UNST,CHICAGO **,MSY,UNST,NEW ORLEANS,624476,1341
DUS,GERF,DUSSELDORF,FRA,GERF,FRANKFURT,623572,189
PER,ASTL,PERTH,SIN,SING,SINGAPORE **,622826,3908
ATL,UNST,ATLANTA,MKC,UNST,KANSAS CITY,622324,1091
AMS,NETH,AMSTERDAM,ZRH,SWTZ,ZURICH,620101,604
MKE,UNST,MILWAUKEE,ORL,UNST,ORLANDO,619208,1706
ATL,UNST,ATLANTA,LAS,UNST,LAS VEGAS,618518,2803
MKC,UNST,KANSAS CITY,MSP,UNST,MINNEAPOLIS,614368,652
FRA,GERF,FRANKFURT,MAD,SPAN,MADRID **,614254,1422
CHI,UNST,CHICAGO **,CVG,UNST,CINCINNATI,613496,401
MYR,UNST,MYRTLE BEACH,NYC,UNST,NEW YORK **,612208,899
DMM,SAUD,AD DAMMAM,RUH,SAUD,RIYADH,612000,390
SDQ,DOMR,SANTO DOMINGO,SJU,PURI,SAN JUAN,611904,387
ABQ,UNST,ALBUQUERQUE,LAX,UNST,LOS ANGELES **,610876,1087
GSO,UNST,GREENSBORO,NYC,UNST,NEW YORK **,610368,732
CHI,UNST,CHICAGO **,SNA,UNST,ORANGE COUNT,609804,2791
LAX,UNST,LOS ANGELES **,MIA,UNST,MIAMI **,608220,3760
BIQ,FRAN,BIARRITZ,PAR,FRAN,PARIS **,608056,658
FRA,GERF,FRANKFURT,WAS,UNST,WASHINGTON **,607519,6536
FRA,GERF,FRANKFURT,IST,TURK,ISTANBUL,606850,1862
MEX,MEXC,MEXICO CITY,MIA,UNST,MIAMI **,606719,2051
LON,UNKG,LONDON **,PRG,CZCH,PRAGUE,606655,1080
LIS,PORT,LISBON,OPO,PORT,PORTO,603586,270
RSU,KORR,YEOSU,SEL,KORR,SEOUL **,602324,325
ATH,GREC,ATHENS,RHO,GREC,RODOS,602080,423
JED,SAUD,JEDDAH,MED,SAUD,MEDINA,601000,341
HEL,FINL,HELSINKI,LON,UNKG,LONDON **,600178,1878
HOU,UNST,HOUSTON **,TUL,UNST,TULSA,600020,730
BRU,BELG,BRUSSELS,NYC,UNST,NEW YORK **,596972,5887
HOU,UNST,HOUSTON **,MEX,MEXC,MEXICO CITY,596440,1198
AHB,SAUD,ABHA,RUH,SAUD,RIYADH,596000,843
BJS,CHIN,BEIJING,TYO,JAPN,TOKYO **,595980,2113
HKG,HONG,HONG KONG,SFO,UNST,SAN FRANCISCO,594734,11099
FRA,GERF,FRANKFURT,ROM,ITAL,ROMA **,594298,957
NGO,JAPN,NAGOYA,SEL,KORR,SEOUL **,592499,940
MNL,PHIL,MANILA,TYO,JAPN,TOKYO **,591929,2992
ATL,UNST,ATLANTA,HFD,UNST,HARTFORD SPRINGFIELDS,591264,1380
ATL,UNST,ATLANTA,LON,UNKG,LONDON **,589306,6738
HKG,HONG,HONG KONG,YVR,CAND,VANCOUVER,588336,10246
KUL,MALB,KUALA LUMPUR,LON,UNKG,LONDON **,586943,10593
FUK,JAPN,FUKUOKA,SEL,KORR,SEOUL **,585791,550
FLL,UNST,FORT LAUDERDALE,JAX,UNST,JACKSONVILLE,584322,504
HOU,UNST,HOUSTON **,STL,UNST,ST LOUIS,583868,1108
ORL,UNST,ORLANDO,RDU,UNST,RALEIGH/DURHAM,583002,850
BWI,UNST,BALTIMORE,SAN,UNST,SAN DIEGO,582434,3683
MEL,ASTL,MELBOURNE **,SIN,SING,SINGAPORE **,582318,6038
FLL,UNST,FORT LAUDERDALE,ISP,UNST,LONG ISLAND MACARTHUR,580050,1762
BOG,COLM,BOGOTA,MIA,UNST,MIAMI **,579856,2434
PHL,UNST,PHILADELPHIA,PIT,UNST,PITTSBURGH,576824,430
NYC,UNST,NEW YORK **,YMQ,CAND,MONTREAL **,575036,531
ATL,UNST,ATLANTA,PIT,UNST,PITTSBURGH,572874,845
BCN,SPAN,BARCELONA,BRU,BELG,BRUSSELS,569658,1083
BRU,BELG,BRUSSELS,MIL,ITAL,MILANO **,568951,683
BRI,ITAL,BARI,MIL,ITAL,MILANO **,568951,796
HFD,UNST,HARTFORD SPRINGFIELDS,FLL,UNST,FORT LAUDERDALE,568578,1891
FLL,UNST,FORT LAUDERDALE,ORL,UNST,ORLANDO,567554,298
SFO,UNST,SAN FRANCISCO,SLC,UNST,SALT LAKE CITY,566340,963
DMM,SAUD,AD DAMMAM,JED,SAUD,JEDDAH,566000,1234
BHX,UNKG,BIRMINGHAM,DUB,IRLD,DUBLIN,563276,320
MKC,UNST,KANSAS CITY,ORL,UNST,ORLANDO,562690,1692
AMS,NETH,AMSTERDAM,MIL,ITAL,MILANO **,561629,814
AMS,NETH,AMSTERDAM,ROM,ITAL,ROMA **,560817,1296
CPH,DENM,COPENHAGEN **,PAR,FRAN,PARIS **,560643,1034
DAL,UNST,DALLAS **,MEX,MEXC,MEXICO CITY,560310,1507
CUN,MEXC,CANCUN,MIA,UNST,MIAMI **,554865,800
LON,UNKG,LONDON **,PHL,UNST,PHILADELPHIA,554186,5667
PDX,UNST,PORTLAND,SLC,UNST,SALT LAKE CITY,553368,1012
CLE,UNST,CLEVELAND,LAS,UNST,LAS VEGAS,552464,2929
MIA,UNST,MIAMI **,SJO,COST,SAN JOSE,552020,1808
LON,UNKG,LONDON **,MLA,MALT,MALTA,551707,2102
BNA,UNST,NASHVILLE,DET,UNST,DETROIT **,551646,734
SFO,UNST,SAN FRANCISCO,YVR,CAND,VANCOUVER,551573,1287
FRA,GERF,FRANKFURT,HAJ,GERF,HANOVER,549962,280
CAS,MORC,CASABLANCA **,PAR,FRAN,PARIS **,549898,1880
ATH,GREC,ATHENS,LCA,CYPR,LARNACA,548703,946
NYC,UNST,NEW YORK **,SJC,UNST,SAN JOSE,547868,4102
BOS,UNST,BOSTON,FMY,UNST,FORT MYERS,547182,2013
CMH,UNST,"COLUMBUS, OH **",TPA,UNST,"TAMPA, FL **",547048,1338
FRA,GERF,FRANKFURT,ZRH,SWTZ,ZURICH,546070,287
NYC,UNST,NEW YORK **,SNN,IRLD,SHANNON,545449,4949
AMS,NETH,AMSTERDAM,MAN,UNKG,MANCHESTER,545395,487
MKE,UNST,MILWAUKEE,NYC,UNST,NEW YORK **,544792,1176
CLE,UNST,CLEVELAND,ORL,UNST,ORLANDO,541900,1432
HAM,GERF,HAMBURG,PMI,SPAN,PALMA DE MALLORCA,541132,1658
NYC,UNST,NEW YORK **,SLC,UNST,SALT LAKE CITY,540050,3171
ORL,UNST,ORLANDO,STL,UNST,ST LOUIS,539970,1407
LAS,UNST,LAS VEGAS,MKC,UNST,KANSAS CITY,538916,1839
LAX,UNST,LOS ANGELES **,MSY,UNST,NEW ORLEANS,537854,2680
IST,TURK,ISTANBUL,LON,UNKG,LONDON **,537611,2531
DEN,UNST,DENVER,PDX,UNST,PORTLAND,537504,1581
LAX,UNST,LOS ANGELES **,PAR,FRAN,PARIS **,536472,9110
ATL,UNST,ATLANTA,GSO,UNST,GREENSBORO,535742,491
BOS,UNST,BOSTON,MIA,UNST,MIAMI **,535562,2026
CGN,GERF,COLOGNE,PMI,SPAN,PALMA DE MALLORCA,535278,1304
BWI,UNST,BALTIMORE,DEN,UNST,DENVER,534540,2411
BKK,THAI,BANGKOK,LON,UNKG,LONDON **,534272,9570
BNA,UNST,NASHVILLE,ORL,UNST,ORLANDO,530798,981
MLH,FRAN,MULHOUSE,PAR,FRAN,PARIS **,530377,401
LON,UNKG,LONDON **,SYD,ASTL,SYDNEY,527269,17038
HKG,HONG,HONG KONG,LAX,UNST,LOS ANGELES **,526772,11636
AMA,UNST,AMARILLO INTL,DAL,UNST,DALLAS **,526590,499
MAN,UNKG,MANCHESTER,PAR,FRAN,PARIS **,526533,607
BRU,BELG,BRUSSELS,FRA,GERF,FRANKFURT,526191,304
IND,UNST,INDIANAPOLIS,TPA,UNST,"TAMPA, FL **",525000,1352
DEN,UNST,DENVER,SJC,UNST,SAN JOSE,524990,1502
BOI,UNST,BOISE,PDX,UNST,PORTLAND,524472,553
HOU,UNST,HOUSTON **,PHX,UNST,PHOENIX,523636,1637
BOS,UNST,BOSTON,BWI,UNST,BALTIMORE,523422,595
MKC,UNST,KANSAS CITY,PHX,UNST,PHOENIX,522586,1682
MNL,PHIL,MANILA,SEL,KORR,SEOUL **,520977,2622
DXB,UNAR,DUBAI,KHI,PAKI,KARACHI,520548,1190
MAD,SPAN,MADRID **,OVD,SPAN,OVIEDO,518112,377
PAR,FRAN,PARIS **,VCE,ITAL,VENICE,517242,840
FRA,GERF,FRANKFURT,HKG,HONG,HONG KONG,516737,9164
OPO,PORT,PORTO,PAR,FRAN,PARIS **,515918,1207
BRI,ITAL,BARI,ROM,ITAL,ROMA **,515454,386
PAR,FRAN,PARIS **,PUF,FRAN,PAU,515167,641
MKE,UNST,MILWAUKEE,MSP,UNST,MINNEAPOLIS,515064,477
HOU,UNST,HOUSTON **,PHL,UNST,PHILADELPHIA,514414,2148
BUE,ARGT,BUENOS AIRES **,MAD,SPAN,MADRID **,513982,10046
BES,FRAN,BREST,PAR,FRAN,PARIS **,513711,501
HOU,UNST,HOUSTON **,LON,UNKG,LONDON **,512969,7768
MAD,SPAN,MADRID **,SVQ,SPAN,SEVILLE,512895,393
GEG,UNST,SPOKANE,PDX,UNST,PORTLAND,512074,449
MAA,INDA,CHENNAI/MADRAS,SIN,SING,SINGAPORE **,512073,2922
ATL,UNST,ATLANTA,PHX,UNST,PHOENIX,512018,2549
PAR,FRAN,PARIS **,VIE,AUST,VIENNA,511917,1044
BNA,UNST,NASHVILLE,NYC,UNST,NEW YORK **,511070,1217
LAX,UNST,LOS ANGELES **,STL,UNST,ST LOUIS,509910,2555
AGP,SPAN,MALAGA,BCN,SPAN,BARCELONA,509791,767
PAR,FRAN,PARIS **,WAS,UNST,WASHINGTON **,508686,6183
SEL,KORR,SEOUL **,SFO,UNST,SAN FRANCISCO,508424,9050
LAX,UNST,LOS ANGELES **,MKC,UNST,KANSAS CITY,508324,2196
SAN,UNST,SAN DIEGO,SLC,UNST,SALT LAKE CITY,507572,1007
ORL,UNST,ORLANDO,PIT,UNST,PITTSBURGH,507084,1332
MIA,UNST,MIAMI **,PAR,FRAN,PARIS **,506887,7360
MIA,UNST,MIAMI **,YTO,CAND,TORONTO,505750,1988
AMS,NETH,AMSTERDAM,CPH,DENM,COPENHAGEN **,505438,631
ATH,GREC,ATHENS,CHQ,GREC,CHANIA,504943,266
BUR,UNST,BURBANK,SEA,UNST,SEATTLE,504866,1509
BOS,UNST,BOSTON,RDU,UNST,RALEIGH/DURHAM,504564,985
ABY,UNST,ALBANY,BWI,UNST,BALTIMORE,501753,1088
BRU,BELG,BRUSSELS,CPH,DENM,COPENHAGEN **,501643,754
ALG,ALGR,ALGIERS,PAR,FRAN,PARIS **,500828,1339
CHI,UNST,CHICAGO **,SJC,UNST,SAN JOSE,500364,2957
IND,UNST,INDIANAPOLIS,LAX,UNST,LOS ANGELES **,499978,2912
ATL,UNST,ATLANTA,DAY,UNST,DAYTON,498436,695
AMS,NETH,AMSTERDAM,STO,SWED,STOCKHOLM **,497700,1130
BCN,SPAN,BARCELONA,FRA,GERF,FRANKFURT,497623,1092
LON,UNKG,LONDON **,VCE,ITAL,VENICE,497598,1170
PDX,UNST,PORTLAND,RNO,UNST,RENO,497586,715
BOS,UNST,BOSTON,HOU,UNST,HOUSTON **,497526,2587
OAK,UNST,OAKLAND,SLC,UNST,SALT LAKE CITY,497334,945
CJJ,KORR,CHEONGJU,CJU,KORR,CHEJU,497272,369
MSY,UNST,NEW ORLEANS,WAS,UNST,WASHINGTON **,496860,1548
PHX,UNST,PHOENIX,STL,UNST,ST LOUIS,496606,2028
CAG,ITAL,CAGLIARI,MIL,ITAL,MILANO **,496437,698
SEA,UNST,SEATTLE,WAS,UNST,WASHINGTON **,495598,3719
DUB,IRLD,DUBLIN,NYC,UNST,NEW YORK **,495270,5106
AMS,NETH,AMSTERDAM,MSP,UNST,MINNEAPOLIS,494264,6679
CPH,DENM,COPENHAGEN **,HEL,FINL,HELSINKI,493083,892
ATL,UNST,ATLANTA,STL,UNST,ST LOUIS,491940,777
MIA,UNST,MIAMI **,SDQ,DOMR,SANTO DOMINGO,490435,1364
BWI,UNST,BALTIMORE,SDF,UNST,LOUISVILLE,490086,794
BOS,UNST,BOSTON,PBI,UNST,PALM BEACH,488904,1929
FRA,GERF,FRANKFURT,LAX,UNST,LOS ANGELES **,488824,9316
CJU,KORR,CHEJU,TAE,KORR,TAEGU,488688,335
BOG,COLM,BOGOTA,CTG,COLM,CARTAGENA,488312,656
MAD,SPAN,MADRID **,NYC,UNST,NEW YORK **,485002,5769
CHI,UNST,CHICAGO **,CLT,UNST,CHARLOTTE,482886,940
IST,TURK,ISTANBUL,PAR,FRAN,PARIS **,482690,2240
AUS,UNST,AUSTIN,SJC,UNST,SAN JOSE,481994,2361
MEM,UNST,MEMPHIS,NYC,UNST,NEW YORK **,481498,1534
MEX,MEXC,MEXICO CITY,NYC,UNST,NEW YORK **,481093,3358
FRA,GERF,FRANKFURT,YTO,CAND,TORONTO,480463,6339
HFD,UNST,HARTFORD SPRINGFIELDS,PBI,UNST,PALM BEACH,480230,1824
CPH,DENM,COPENHAGEN **,FRA,GERF,FRANKFURT,479921,678
BGI,BARB,BARBADOS,LON,UNKG,LONDON **,479755,6717
ATL,UNST,ATLANTA,SEA,UNST,SEATTLE,479506,3501
DUB,IRLD,DUBLIN,PAR,FRAN,PARIS **,477370,796
MAD,SPAN,MADRID **,VGO,SPAN,VIGO,476667,464
CHI,UNST,CHICAGO **,PDX,UNST,PORTLAND,476602,2815
LAS,UNST,LAS VEGAS,ORL,UNST,ORLANDO,476590,3267
LAS,UNST,LAS VEGAS,TPA,UNST,"TAMPA, FL **",476530,3187
ATH,GREC,ATHENS,MIL,ITAL,MILANO **,475222,1484
SAN,UNST,SAN DIEGO,WAS,UNST,WASHINGTON **,474852,3635
HFD,UNST,HARTFORD SPRINGFIELDS,TPA,UNST,"TAMPA, FL **",473910,1790
ACE,SPNA,ARRECIFE,LON,UNKG,LONDON **,473226,2702
MSY,UNST,NEW ORLEANS,ORL,UNST,ORLANDO,473072,879
BCN,SPAN,BARCELONA,IBZ,SPAN,IBIZA,471791,277
FLL,UNST,FORT LAUDERDALE,LAX,UNST,LOS ANGELES **,468758,3759
NYC,UNST,NEW YORK **,SNA,UNST,ORANGE COUNT,467450,3921
ABY,UNST,ALBANY,ORL,UNST,ORLANDO,467396,432
ATL,UNST,ATLANTA,FNT,UNST,FLINT,467128,1037
PAR,FRAN,PARIS **,PGF,FRAN,PERPIGNAN,466970,668
BWI,UNST,BALTIMORE,SEA,UNST,SEATTLE,465578,3746
ATH,GREC,ATHENS,FRA,GERF,FRANKFURT,465284,1807
FAO,PORT,FARO,MAN,UNKG,MANCHESTER,464993,1867
ABQ,UNST,ALBUQUERQUE,LAS,UNST,LAS VEGAS,464728,783
PAR,FRAN,PARIS **,STO,SWED,STOCKHOLM **,464576,1549
ORL,UNST,ORLANDO,SFO,UNST,SAN FRANCISCO,463576,3919
AKL,NEWZ,AUCKLAND,BNE,ASTL,BRISBANE,463496,2269
PUS,KORR,PUSAN,SFO,UNST,SAN FRANCISCO,462385,9066
BOS,UNST,BOSTON,PIT,UNST,PITTSBURGH,461966,797
PMI,SPAN,PALMA DE MALLORCA,STR,GERF,STUTTGART,461698,1137
LON,UNKG,LONDON **,LYS,FRAN,LYON **,459178,749
BUF,UNST,BUFFALO,CHI,UNST,CHICAGO **,458484,739
BJS,CHIN,BEIJING,SIN,SING,SINGAPORE **,457621,4459
AUS,UNST,AUSTIN,NYC,UNST,NEW YORK **,456430,2428
MIA,UNST,MIAMI **,PHL,UNST,PHILADELPHIA,456114,1634
AJA,FRAN,AJACCIO,PAR,FRAN,PARIS **,455555,908
AUS,UNST,AUSTIN,CHI,UNST,CHICAGO **,454998,1569
DJE,TUNS,JERBA,PAR,FRAN,PARIS **,454192,1790
HAJ,GERF,HANOVER,PMI,SPAN,PALMA DE MALLORCA,454174,1529
BOS,UNST,BOSTON,DET,UNST,DETROIT **,454058,1014
CHI,UNST,CHICAGO **,PAR,FRAN,PARIS **,453937,6656
AMS,NETH,AMSTERDAM,GVA,SWTZ,GENEVA,452029,683
LAX,UNST,LOS ANGELES **,OSA,JAPN,OSAKA,451454,9179
HFD,UNST,HARTFORD SPRINGFIELDS,WAS,UNST,WASHINGTON **,451210,513
MSP,UNST,MINNEAPOLIS,SAN,UNST,SAN DIEGO,450966,2462
ATL,UNST,ATLANTA,BUF,UNST,BUFFALO,450808,1144
ISP,UNST,LONG ISLAND MACARTHUR,TPA,UNST,"TAMPA, FL **",450270,1665
RNO,UNST,RENO,SJC,UNST,SAN JOSE,450254,303
CHI,UNST,CHICAGO **,SLC,UNST,SALT LAKE CITY,450142,2027
AHB,SAUD,ABHA,JED,SAUD,JEDDAH,449000,502
HAJ,GERF,HANOVER,MUC,GERF,MUNICH,448508,500
PHL,UNST,PHILADELPHIA,PHX,UNST,PHOENIX,448294,3333
CPT,SOUF,CAPE-TOWN,LON,UNKG,LONDON **,447283,9663
DEN,UNST,DENVER,PHL,UNST,PHILADELPHIA,446628,2519
FRA,GERF,FRANKFURT,STR,GERF,STUTTGART,445579,157
HNL,UNST,HONOLULU,NGO,JAPN,NAGOYA,445344,6447
CLE,UNST,CLEVELAND,LAX,UNST,LOS ANGELES **,445210,3294
NYC,UNST,NEW YORK **,SAO,BRAZ,SAO PAULO **,443592,7650
NYC,UNST,NEW YORK **,PUS,KORR,PUSAN,443550,11241
NYC,UNST,NEW YORK **,PDX,UNST,PORTLAND,442900,3916
CPH,DENM,COPENHAGEN **,GOT,SWED,GOTEBORG **,442502,267
BAQ,COLM,BARRANQUILLA,BOG,COLM,BOGOTA,442390,691
SEA,UNST,SEATTLE,TYO,JAPN,TOKYO **,442291,7708
HAM,GERF,HAMBURG,STR,GERF,STUTTGART,442090,553
MIA,UNST,MIAMI **,SCL,CHIL,SANTIAGO DE CHILE,440854,6672
LON,UNKG,LONDON **,LPA,SPNA,LAS PALMAS,440562,2869
MKC,UNST,KANSAS CITY,WAS,UNST,WASHINGTON **,439470,1496
ATL,UNST,ATLANTA,CLE,UNST,CLEVELAND,438852,892
LCG,SPAN,LA CORUNA,MAD,SPAN,MADRID **,438389,512
ATH,GREC,ATHENS,ROM,ITAL,ROMA **,437205,1071
ATL,UNST,ATLANTA,SLC,UNST,SALT LAKE CITY,436740,2550
BCN,SPAN,BARCELONA,MIL,ITAL,MILANO **,436728,730
LAS,UNST,LAS VEGAS,TUS,UNST,TUCSON,435316,587
AKL,NEWZ,AUCKLAND,MEL,ASTL,MELBOURNE **,435309,2630
BWI,UNST,BALTIMORE,JAX,UNST,JACKSONVILLE,435250,1072
AMS,NETH,AMSTERDAM,MUC,GERF,MUNICH,435245,676
BWI,UNST,BALTIMORE,MSY,UNST,NEW ORLEANS,433958,1606
LAX,UNST,LOS ANGELES **,TPA,UNST,"TAMPA, FL **",433460,3464
ATL,UNST,ATLANTA,FRA,GERF,FRANKFURT,433401,7404
BRU,BELG,BRUSSELS,PAR,FRAN,PARIS **,432514,284
ORL,UNST,ORLANDO,SEA,UNST,SEATTLE,432424,4091
ATL,UNST,ATLANTA,PAR,FRAN,PARIS **,432012,7050
BCN,SPAN,BARCELONA,MAH,SPAN,MAHON,432002,242
BUF,UNST,BUFFALO,ORL,UNST,ORLANDO,431688,1617
FLL,UNST,FORT LAUDERDALE,NAS,BAHM,NASSAU,431151,293
BOS,UNST,BOSTON,SJC,UNST,SAN JOSE,430272,4314
DAL,UNST,DALLAS **,LON,UNKG,LONDON **,430192,7601
MIA,UNST,MIAMI **,SFO,UNST,SAN FRANCISCO,428856,4152
FRA,GERF,FRANKFURT,LIS,PORT,LISBON,428758,1873
FMO,GERF,MUNSTER,PMI,SPAN,PALMA DE MALLORCA,428541,1428
AMS,NETH,AMSTERDAM,VIE,AUST,VIENNA,428241,954
GLA,UNKG,GLASGOW **,LTN,UNKG,LUTON,428033,516
CUN,MEXC,CANCUN,DAL,UNST,DALLAS **,427474,1664
CUN,MEXC,CANCUN,HOU,UNST,HOUSTON **,426495,1305
SMF,UNST,SACRAMENTO,SNA,UNST,ORANGE COUNT,426062,630
CHI,UNST,CHICAGO **,MHT,UNST,MANCHESTER,425992,1333
HOU,UNST,HOUSTON **,OKC,UNST,OKLAHOMA CITY,425328,675
CHI,UNST,CHICAGO **,SAT,UNST,SAN ANTONIO,423882,1680
BRE,GERF,BREMEN,FRA,GERF,FRANKFURT,422905,336
BWI,UNST,BALTIMORE,ISP,UNST,LONG ISLAND MACARTHUR,422814,354
SEL,KORR,SEOUL **,TPE,TAIW,TAIPEI,421645,1474
JED,SAUD,JEDDAH,KHI,PAKI,KARACHI,421000,2874
HOU,UNST,HOUSTON **,HRL,UNST,HARLINGEN,419712,453
BKK,THAI,BANGKOK,SYD,ASTL,SYDNEY,419370,7538
BWI,UNST,BALTIMORE,RDU,UNST,RALEIGH/DURHAM,419046,411
CLE,UNST,CLEVELAND,STL,UNST,ST LOUIS,418846,782
